Feature,Mean,Std,Min,Max,Missing %
load,5.300628125966862,6.045188477841517,0.31725888324873,34.58121827411168,0.0
temperature,14.944565424296647,5.759937174572184,-0.8,38.4,0.0
humidity,77.99173868351924,16.052350499880593,18.0,100.0,0.0
precipitation,0.15580766741538812,0.5283762957869934,0.0,9.5,0.0
wind_speed,11.306909810789202,6.107314419498558,0.0,48.6,0.0
wind_direction,195.90094034339666,109.03843554060082,1.0,360.0,0.0
pressure,1007.0417558152816,7.1141835431616105,961.2,1028.8,0.0
cloud_cover,53.005977081509116,40.084130697254686,0.0,100.0,0.0
